epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,479.227,1.14495,3.49859,1.3725,0.26384,0.31269,0.14868,0.10944,0.91416,3.14339,1.18791,0.0001036,0.0001036,0.0001036
2,938.786,0.90964,2.29809,1.16087,0.33699,0.35172,0.23199,0.17925,0.81346,2.08117,1.07241,0.000206724,0.000206724,0.000206724
3,1400.03,0.91776,1.9408,1.1626,0.49515,0.4755,0.38349,0.30031,0.80651,1.82537,1.03912,0.000305599,0.000305599,0.000305599
4,1858.81,0.89878,1.83166,1.12721,0.5702,0.46636,0.42374,0.3317,0.83415,1.66304,1.06952,0.000348022,0.000348022,0.000348022
5,2318.53,0.91704,1.64842,1.14899,0.51728,0.47852,0.47222,0.38006,0.7809,1.55795,1.04757,0.000340696,0.000340696,0.000340696
6,2776.32,0.86715,1.58728,1.10224,0.67093,0.46631,0.54561,0.45075,0.71316,1.34476,1.01419,0.00033337,0.00033337,0.00033337
7,3233.37,0.83111,1.39578,1.10192,0.51294,0.6138,0.62453,0.50789,0.73566,1.29285,1.025,0.000326044,0.000326044,0.000326044
8,3688.97,0.84776,1.36923,1.10927,0.61168,0.60508,0.69154,0.57401,0.68444,1.06571,1.00074,0.000318718,0.000318718,0.000318718
9,4148.3,0.80426,1.18522,1.06385,0.76573,0.57177,0.72612,0.60571,0.7019,1.02855,1.00844,0.000311392,0.000311392,0.000311392
10,4606.06,0.7723,1.15298,1.05498,0.72799,0.69447,0.79272,0.67414,0.66296,0.97209,0.97973,0.000304066,0.000304066,0.000304066
11,5065.05,0.77971,1.11271,1.08276,0.81293,0.72647,0.81885,0.69326,0.63964,0.85328,0.97254,0.00029674,0.00029674,0.00029674
12,5529.72,0.76007,1.02793,1.05505,0.76629,0.79884,0.83725,0.70994,0.63008,0.84217,0.97023,0.000289414,0.000289414,0.000289414
